['中远海能', '600026', 485, ['2025-04-09', 10.08, 10.09, '2025-04-10', 10.25, 10.24, '2025-04-11', 10.17, 10.23]]
['浙商证券', '601878', 484, ['2025-04-08', 10.34, 10.63, '2025-04-10', 10.64, 10.64, '2025-04-11', 10.6, 10.62]]
['ST华通', '002602', 482, ['2025-03-31', 6.43, 6.45, '2025-04-02', 6.71, 6.66, '2025-04-07', 6.44, 6.44]]
['中国动力', '600482', 472, ['2025-04-07', 19.64, 20.75, '2025-04-09', 21.33, 21.07, '2025-04-11', 20.97, 21.2]]
['新 希 望', '000876', 463, ['2025-03-24', 9.38, 9.39, '2025-03-26', 9.51, 9.47, '2025-03-27', 9.47, 9.49]]
['东方电气', '600875', 457, ['2025-04-07', 14.08, 14.48, '2025-04-10', 14.83, 14.76, '2025-04-11', 14.66, 14.74]]
['天齐锂业', '002466', 455, ['2025-03-24', 31.17, 31.38, '2025-04-02', 30.63, 30.61, '2025-04-07', 27.23, 28.0]]
['苏 泊 尔', '002032', 452, ['2025-03-20', 52.09, 52.17, '2025-03-25', 53.84, 52.74, '2025-04-03', 58.75, 58.8]]
['华鲁恒升', '600426', 445, ['2025-04-07', 20.53, 20.91, '2025-04-10', 21.39, 21.37, '2025-04-11', 20.99, 21.08]]
['圆通速递', '600233', 444, ['2025-03-31', 12.7, 12.87, '2025-04-03', 12.92, 12.84, '2025-04-07', 12.34, 12.5]]
['陆家嘴', '600663', 439, ['2025-04-07', 8.1, 8.4, '2025-04-09', 8.78, 8.66, '2025-04-11', 8.72, 8.87]]
['国投资本', '600061', 436, ['2025-04-08', 6.53, 6.64, '2025-04-10', 6.89, 6.74, '2025-04-11', 6.83, 6.85]]
['中国化学', '601117', 433, ['2025-04-07', 6.76, 6.99, '2025-04-09', 7.18, 7.12, '2025-04-10', 7.16, 7.27]]
['君正集团', '601216', 433, ['2025-03-25', 5.57, 5.58, '2025-03-27', 5.68, 5.62, '2025-03-28', 5.55, 5.67]]
['海南机场', '600515', 431, ['2025-04-01', 3.61, 3.61, '2025-04-03', 3.64, 3.63, '2025-04-07', 3.29, 3.56]]
['中泰证券', '600918', 427, ['2025-04-08', 5.93, 6.0, '2025-04-10', 6.18, 6.07, '2025-04-11', 6.14, 6.14]]
['白云山', '600332', 424, ['2025-04-07', 25.24, 25.96, '2025-04-09', 26.3, 26.23, '2025-04-10', 26.4, 26.5]]
['迎驾贡酒', '603198', 421, ['2025-04-07', 51.22, 51.63, '2025-04-09', 53.35, 52.94, '2025-04-11', 52.64, 53.15]]
['赛轮轮胎', '601058', 414, ['2025-04-08', 11.99, 12.59, '2025-04-10', 13.09, 12.55, '2025-04-11', 12.62, 12.89]]
['杭钢股份', '600126', 405, ['2025-03-25', 10.05, 10.33, '2025-03-28', 10.78, 10.53, '2025-04-01', 11.46, 12.07]]
['电投能源', '002128', 402, ['2025-04-09', 17.65, 17.75, '2025-04-10', 18.18, 18.06, '2025-04-11', 17.94, 18.07]]
['海澜之家', '600398', 400, ['2025-04-07', 7.52, 7.68, '2025-04-08', 8.04, 8.0, '2025-04-11', 8.33, 8.56]]
['长春高新', '000661', 399, ['2025-04-07', 94.8, 94.96, '2025-04-10', 99.09, 97.93, '2025-04-11', 98.02, 98.3]]
['张江高科', '600895', 393, ['2025-03-24', 24.91, 24.91, '2025-03-27', 25.7, 25.16, '2025-03-28', 25.06, 25.7]]
['天山股份', '000877', 393, ['2025-04-07', 5.26, 5.36, '2025-04-09', 5.62, 5.55, '2025-04-11', 5.53, 5.62]]
['华工科技', '000988', 377, ['2025-03-25', 41.61, 41.72, '2025-04-01', 41.35, 41.34, '2025-04-03', 39.84, 41.4]]
['三星医疗', '601567', 377, ['2025-04-09', 24.91, 25.26, '2025-04-10', 27.27, 26.37, '2025-04-11', 26.72, 26.72]]
['东吴证券', '601555', 372, ['2025-04-08', 7.16, 7.29, '2025-04-09', 7.62, 7.5, '2025-04-10', 7.58, 7.59]]
['海信家电', '000921', 364, ['2025-04-09', 25.3, 25.35, '2025-04-10', 26.7, 26.01, '2025-04-11', 26.32, 26.33]]
['雅戈尔', '600177', 359, ['2025-04-09', 7.62, 7.69, '2025-04-10', 7.81, 7.77, '2025-04-11', 7.77, 7.78]]
['辽港股份', '601880', 358, ['2025-04-07', 1.39, 1.44, '2025-04-08', 1.48, 1.48, '2025-04-10', 1.52, 1.54]]
['中国外运', '601598', 356, ['2025-04-07', 4.64, 4.84, '2025-04-09', 4.93, 4.93, '2025-04-10', 5.02, 5.28]]
['昊华科技', '600378', 347, ['2025-04-07', 24.65, 25.84, '2025-04-08', 26.53, 26.5, '2025-04-10', 26.8, 26.99]]
['苏能股份', '600925', 347, ['2025-04-07', 4.92, 4.92, '2025-04-10', 5.08, 5.05, '2025-04-11', 5.05, 5.06]]
['鱼跃医疗', '002223', 346, ['2025-03-31', 34.88, 34.89, '2025-04-01', 35.68, 35.46, '2025-04-07', 33.7, 34.59]]
['石化油服', '600871', 345, ['2025-04-08', 1.78, 1.8, '2025-04-10', 1.83, 1.81, '2025-04-11', 1.82, 1.82]]
['财通证券', '601108', 343, ['2025-04-08', 7.09, 7.29, '2025-04-10', 7.43, 7.34, '2025-04-11', 7.4, 7.4]]
['中船防务', '600685', 339, ['2025-04-08', 21.3, 21.55, '2025-04-09', 23.43, 22.34, '2025-04-10', 24.15, 25.7]]
['长江证券', '000783', 334, ['2025-04-08', 5.86, 6.0, '2025-04-10', 6.07, 6.04, '2025-04-11', 6.04, 6.04]]
['恺英网络', '002517', 332, ['2025-04-07', 14.81, 15.17, '2025-04-09', 15.78, 15.66, '2025-04-10', 15.77, 15.97]]
['淮北矿业', '600985', 330, ['2025-03-31', 13.05, 13.1, '2025-04-03', 13.26, 13.22, '2025-04-07', 12.06, 12.8]]
['西部证券', '002673', 329, ['2025-03-31', 7.8, 7.82, '2025-04-02', 7.87, 7.87, '2025-04-07', 7.1, 7.5]]
['拓维信息', '002261', 327, ['2025-03-25', 29.06, 29.75, '2025-04-01', 29.01, 28.76, '2025-04-02', 28.59, 28.72]]
['中航高科', '600862', 327, ['2025-04-07', 21.49, 22.43, '2025-04-09', 23.52, 23.02, '2025-04-10', 23.55, 23.76]]
['常山北明', '000158', 324, ['2025-03-25', 22.63, 23.04, '2025-03-27', 23.65, 23.37, '2025-03-28', 22.87, 23.21]]
['中国西电', '601179', 323, ['2025-04-08', 6.31, 6.32, '2025-04-10', 6.42, 6.42, '2025-04-11', 6.31, 6.41]]
['国元证券', '000728', 322, ['2025-04-08', 7.15, 7.3, '2025-04-10', 7.42, 7.35, '2025-04-11', 7.38, 7.39]]
['杰瑞股份', '002353', 317, ['2025-04-09', 28.76, 30.06, '2025-04-10', 31.64, 31.03, '2025-04-11', 31.01, 31.32]]
